,track_id,popularity_track,duration_min,explicit,track_number,release_date,number_of_artists,popularity_artist_mean,followers_mean,num_of_markets,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,major,minor,album,compilation,single,Amount_words,Amount_unique_words,Diversity_coeff,Amount_adlibs,Amount_verses,Amount_chorus,Avg_words_verse,Scalared_popularity
26838,05wb6MEyJeG2z1MVCIXxC8,64,3.45,1,12,472272,2,74.0,5157052.0,183,4B,146.0,70.0,58.0,46.0,24.0,0.0,11.0,5.0,-6,1,0,1,0,0,516.0,258.0,2.0,26.0,0.0,0.0,0.0,-0.7899045526168708
26839,2csQwIXVZb7fCO980XqCHr,64,2.62,0,1,474288,2,73.0,399902.0,185,8B,150.0,72.0,61.0,16.0,36.0,0.0,10.0,4.0,-5,1,0,0,0,1,314.0,164.0,1.9146341463414636,14.0,3.0,0.0,46.0,-0.7899045526168708
26840,6VFZJ2XxsZpKNupeG7ePr8,64,2.48,1,1,478632,1,72.0,2004627.0,185,8A,150.0,78.0,67.0,47.0,31.0,0.0,15.0,8.0,-5,0,1,0,0,1,406.0,162.0,2.506172839506173,15.0,1.0,2.0,69.0,-0.7899045526168708
26841,4T79XgBQJi9JfMZ62PaGWB,64,2.85,0,10,479064,1,72.0,2004627.0,185,3B,192.0,79.0,57.0,30.0,38.0,0.0,8.0,6.0,-4,1,0,1,0,0,473.0,215.0,2.2,1.0,2.0,2.0,129.0,-0.7899045526168708
26844,6gxLEbRJlorva6uVRW4gof,64,2.73,0,1,454800,1,75.0,6404842.0,185,9A,144.0,63.0,84.0,68.0,19.0,0.0,35.0,11.0,-3,0,1,0,0,1,273.0,177.0,1.5423728813559323,8.0,2.0,0.0,67.0,-0.7899045526168708
26845,72t3CRd8YEFrlc3x0OVaob,64,3.09,1,2,448920,1,75.0,6404842.0,185,10B,145.0,57.0,91.0,76.0,23.0,0.0,11.0,36.0,-8,1,0,1,0,0,343.0,177.0,1.9378531073446328,41.0,2.0,0.0,99.0,-0.7899045526168708
26846,3HEfzQob3O16TIDMPC8PTx,64,2.98,0,1,446568,2,75.0,6404842.0,185,10B,96.0,63.0,82.0,71.0,13.0,0.0,7.0,23.0,-6,1,0,0,0,1,328.0,174.0,1.885057471264368,8.0,3.0,0.0,59.0,-0.7899045526168708
26847,4yrIO5r0yw9MBKJ1nrHcF7,64,2.11,1,1,487368,2,75.0,6404842.0,183,12A,162.0,85.0,55.0,58.0,0.0,0.0,45.0,6.0,-6,0,1,0,0,1,240.0,173.0,1.3872832369942196,8.0,2.0,0.0,81.0,-0.7899045526168708
26849,3fZd2UtWZMntClCSnJ7PDY,64,2.6,1,7,486720,3,73.0,3056112.0,185,9B,95.0,70.0,87.0,80.0,1.0,0.0,30.0,19.0,-5,1,0,1,0,0,460.0,243.0,1.8930041152263373,0.0,2.0,2.0,168.0,-0.7899045526168708
26850,1p1b9LdLJ0REuFJX9mYtFX,64,2.54,1,1,441864,2,72.0,898079.0,185,8B,92.0,57.0,88.0,76.0,29.0,0.0,12.0,43.0,-4,1,0,1,0,0,443.0,214.0,2.0700934579439254,7.0,1.0,0.0,304.0,-0.7899045526168708
26851,1dHda8ZPcauIUV8kdvdLEc,64,2.89,1,5,367368,1,73.0,3295579.0,185,4A,90.0,46.0,90.0,76.0,2.0,0.0,10.0,8.0,-7,0,1,1,0,0,541.0,176.0,3.073863636363636,40.0,2.0,3.0,132.0,-0.7899045526168708
26852,6lZbLMHu98qpkOY0t3efUK,64,3.16,1,15,435648,1,72.0,2447389.0,185,4A,153.0,53.0,57.0,14.0,3.0,0.0,15.0,4.0,-7,0,1,1,0,0,432.0,195.0,2.2153846153846155,1.0,0.0,0.0,0.0,-0.7899045526168708
26853,5nODbxjT7KZt9cUX0xJwQs,64,3.79,1,9,435648,2,72.0,2447389.0,185,9A,93.0,83.0,74.0,80.0,26.0,0.0,44.0,29.0,-5,0,1,1,0,0,515.0,191.0,2.696335078534031,0.0,0.0,0.0,0.0,-0.7899045526168708
26854,23SqoExnmW4BTJEYzMJze8,64,2.4,1,3,453624,2,72.0,2130207.5,185,3A,85.0,84.0,60.0,89.0,19.0,0.0,19.0,30.0,-5,0,1,1,0,0,300.0,144.0,2.083333333333333,21.0,0.0,0.0,0.0,-0.7899045526168708
26857,7Eey0kKPfatUEQeldGmxAj,64,2.91,1,6,488064,2,73.0,4210756.0,185,1B,90.0,73.0,64.0,14.0,34.0,1.0,11.0,4.0,-8,1,0,1,0,0,390.0,251.0,1.5537848605577689,12.0,0.0,0.0,0.0,-0.7899045526168708
26858,2ceJa7d62wQ3eRBK589ALG,64,3.46,0,12,479328,2,74.0,2908683.0,185,10B,88.0,57.0,58.0,13.0,0.0,0.0,15.0,4.0,-7,1,0,1,0,0,656.0,367.0,1.787465940054496,36.0,0.0,0.0,0.0,-0.7899045526168708
26859,27dn9ZTwGj5uZjIQPulwAE,64,2.12,1,1,486888,1,73.0,459879.0,185,12B,99.0,33.0,64.0,15.0,60.0,0.0,11.0,3.0,-12,1,0,0,0,1,471.0,249.0,1.891566265060241,0.0,0.0,0.0,0.0,-0.7899045526168708
26861,7115pIZRP1L0MaJCPFPPFM,64,3.38,1,10,452928,1,72.0,630518.0,185,3A,91.0,61.0,90.0,63.0,16.0,0.0,39.0,34.0,-6,0,1,1,0,0,475.0,206.0,2.3058252427184467,0.0,0.0,0.0,0.0,-0.7899045526168708
26862,5hrnlL3rqxLrkB8UQynmxh,65,4.9,0,16,478320,2,95.0,103285391.0,185,12A,120.0,73.0,86.0,49.0,14.0,0.0,12.0,27.0,-3,0,1,1,0,0,571.0,80.0,7.1375,40.0,1.0,2.0,103.0,-0.596241975484943
26863,0GR7iJLhj80KD5LkA14ZRn,65,3.85,1,1,400752,2,92.0,63008440.0,184,9A,100.0,90.0,76.0,33.0,20.0,0.0,18.0,8.0,-4,0,1,1,0,0,929.0,314.0,2.9585987261146496,74.0,2.0,2.0,344.0,-0.596241975484943
26865,03L2AoiRbWhvt7BDMx1jUB,65,4.96,1,3,406248,1,95.0,103285391.0,184,8B,130.0,83.0,84.0,32.0,26.0,0.0,10.0,6.0,-6,1,0,1,0,0,603.0,251.0,2.402390438247012,0.0,3.0,2.0,157.0,-0.596241975484943
26866,41a7dZcq30Ss5kPMayWRV0,65,2.63,1,7,425064,1,95.0,103285391.0,180,6A,83.0,49.0,84.0,48.0,9.0,0.0,13.0,46.0,-7,0,1,1,0,0,341.0,156.0,2.185897435897436,7.0,2.0,2.0,61.0,-0.596241975484943
26867,1dUHF4RyMmMTveJ0Rby6Xm,65,2.73,1,9,425064,1,95.0,103285391.0,180,4A,85.0,75.0,72.0,73.0,61.0,0.0,14.0,42.0,-4,0,1,1,0,0,422.0,155.0,2.7225806451612904,0.0,2.0,2.0,120.0,-0.596241975484943
26868,6Na5uKk5SsqZimk0hAWo8y,65,3.91,0,1,416160,1,95.0,103285391.0,184,12A,128.0,80.0,83.0,78.0,29.0,0.0,36.0,9.0,-6,0,1,0,0,1,379.0,126.0,3.007936507936508,8.0,2.0,3.0,83.0,-0.596241975484943
26869,1D9XLqQp2YYiOxrr5KLb8K,65,3.54,1,8,367032,1,95.0,103285391.0,184,1A,110.0,59.0,97.0,87.0,63.0,0.0,8.0,12.0,-9,0,1,1,0,0,657.0,266.0,2.469924812030075,2.0,2.0,2.0,235.0,-0.596241975484943
26871,4n4BflhWjCHIxrI4v7Xt9s,65,3.93,1,3,434640,1,95.0,103285391.0,184,3B,162.0,69.0,71.0,45.0,2.0,0.0,9.0,18.0,-6,1,0,1,0,0,518.0,187.0,2.770053475935829,12.0,2.0,2.0,125.0,-0.596241975484943
26872,4xRxYWgAtL6pzRz94GlZlA,65,5.85,1,18,367032,1,95.0,103285391.0,184,10B,133.0,48.0,93.0,75.0,36.0,0.0,9.0,26.0,-5,1,0,1,0,0,764.0,333.0,2.294294294294294,4.0,3.0,2.0,211.0,-0.596241975484943
26873,7xHWNBFm6ObGEQPaUxHuKO,65,3.5,0,14,410280,2,89.0,44697878.0,172,4A,100.0,63.0,75.0,23.0,40.0,0.0,12.0,18.0,-6,0,1,1,0,0,518.0,95.0,5.4526315789473685,13.0,3.0,3.0,58.0,-0.596241975484943
26875,66ezChUOWvgzRQAi3Ay1wt,65,4.7,1,2,289272,3,88.0,104702538.0,79,11A,117.0,58.0,77.0,69.0,39.0,0.0,26.0,5.0,-7,0,1,0,1,0,827.0,323.0,2.560371517027864,29.0,3.0,3.0,180.0,-0.596241975484943
26876,0lWjRSzq5chA9fps3pM8Zr,65,3.55,1,11,330408,1,89.0,31096938.0,184,7A,115.0,55.0,83.0,50.0,23.0,2.0,6.0,3.0,-4,0,1,1,0,0,645.0,278.0,2.320143884892086,0.0,2.0,3.0,213.0,-0.596241975484943
26878,1oNaDXXu9I4UCJ8Fh0Hfjg,65,3.75,1,7,474288,3,85.0,19214376.5,185,1B,140.0,82.0,75.0,62.0,3.0,0.0,11.0,4.0,-4,1,0,1,0,0,688.0,258.0,2.6666666666666665,8.0,3.0,4.0,129.0,-0.596241975484943
26879,3g9UquSEBErZiXSDa02YfG,65,4.92,1,5,474288,3,85.0,19214376.5,185,10A,95.0,71.0,73.0,55.0,23.0,0.0,30.0,10.0,-4,0,1,1,0,0,754.0,248.0,3.040322580645161,6.0,3.0,2.0,201.0,-0.596241975484943
