,id,name,popularity,followers,last_month_listeners
53,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,78,5626396,20350839
86,3y2cIKLjiOlp1Np37WiUdH,Shaboozey,76,1458759,20215223
117,5ndkK3dpZLKtBklKjxNQwT,B.o.B,74,2271814,19747497
38,6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,80,2075694,19591461
85,2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,76,36536609,19216531
109,6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,75,8806337,19119709
31,0GOx72r5AAEKRGQFn3xqXK,GIMS,81,7753933,18771413
37,6Ip8FS7vWT1uKkJSweANQK,Dave,80,6620936,18368069
111,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,74,11864202,17705721
45,3hcs9uc56yIGFCSy9leWe7,Lil Durk,79,9537808,17586294
119,3KV3p5EY4AvKxOlhGHORLg,Jeremih,74,7227406,17504141
120,0c173mlxpT3dSFRgMO8XPh,Big Sean,74,11547065,17410049
84,2qoQgPAilErOKCwE2Y8wOG,GloRilla,76,2567426,17310197
113,6oMuImdp5ZcFhWP0ESe6mG,Migos,74,14648723,17250288
57,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,78,8995678,17158217
65,4QFG9KrGWEbr6hNA58CAqE,Alemán,77,6659123,16993134
123,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,74,8805386,16388685
105,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,75,26644123,16179395
66,3nqS8jzqmsPKFJTp0BOIel,Ikky,77,1226932,16009478
93,2p1fiYHYiXz9qi0JJyxBzN,Skepta,75,1632818,15982502
108,2x7PC78TmgqpEIjaGAZ0Oz,Trueno,75,9865064,15944324
135,1pgDilWYDWLoOgGjf1iHNu,Zion,74,4605195,15933852
77,6AgTAQt8XS6jRWi4sX7w49,Polo G,76,13078033,15866307
59,6TIYQ3jFPwQSRmorSezPxX,mgk,78,5646656,15518351
41,1bAftSH8umNcGZ0uyV7LMg,Duki,80,13336393,15499475
112,0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,74,10042666,15047066
106,5r3wPya2PpeTTsXsGhQU8O,Shubh,75,10047741,15010542
80,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,76,5993864,14829869
27,19HM5j0ULGSmEoRcrSe5x3,Milo j,82,8947122,14718704
81,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,76,7735060,14356692
96,6icQOAFXDZKsumw3YXyusw,Lil Yachty,75,10915657,14290249
127,00me4Ke1LsvMxt5kydlMyU,Cosculluela,74,6924835,14010023
134,5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,74,5927170,13847613
165,5SXuuuRpukkTvsLuUknva1,Baby Keem,72,3136253,13699806
71,2yLzlEFtIS0Q9UkyBZdQA7,Jessie Murph,77,1637551,13661613
193,4IVAbR2w4JJNJDDRFP3E83,6LACK,71,4853264,13143687
76,6fOMl44jA4Sp5b9PpYCkzz,NF,76,11183934,13114949
160,20sxb77xiYeusSH8cVdatc,Meek Mill,72,8281546,12893249
128,0AqlFI0tz2DsEoJlKSIiT9,Emilia,74,5227692,12756679
94,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,75,10212233,12532044
107,6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,75,8056145,12386977
129,1cUpGtXcSQsovNYEZOQgOG,Nanpa Básico,74,3189484,12325221
78,0VRj0yCOv2FXJNP47XQnx5,Quavo,76,8096672,12206601
95,4OBJLual30L7gRl5UkeRcT,T.I.,75,5132237,12048273
157,4m6ubhNsdwF4psNf3R8kwR,KHEA,73,6264332,11732479
151,4tm8CEdm4pkQsEh4jIr9Yp,Santa Fe Klan,73,10130817,11435483
125,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,74,5767575,11408005
132,6QoCrBHsojKnOrsGNfRcTN,Talwiinder,74,1932549,11400371
162,67nwj3Y5sZQLl72VNUHEYE,Wale,72,4282504,11286830
164,1z7b1Pr1rSlvWRzsW3HOrS,Russ,72,5511362,11150129
52,0b1sIQumIAsNbqAoIClSpy,j-hope,78,19277401,10957341
145,5VadK1havLhK1OpKYsXv9y,D-Block Europe,73,1793316,10780555
92,6QtgPSJPSzcnn7dPZ4VINp,King Von,75,7970509,10246234
169,0A0FS04o6zMoto8OKPsDwY,YG,72,3479680,10077922
116,1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,74,6818612,9896959
163,20qISvAhX20dpIbOOzGK3q,Nas,72,4297331,9862760
196,1cNDP5yjU5vjeR8qMf4grg,YNW Melly,71,12777557,9857500
72,4YqwRbMLqGHRHLS1w2ZKse,Veigh,77,6332879,9843846
64,07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,77,19518051,9761226
73,7gJN8W0589FisSYJS17K54,Filipe Ret,77,9273042,9652538
124,17lzZA2AlOHwCwFALHttmp,2 Chainz,74,8310942,9249769
194,0YinUQ50QDB7ZxSCLyQ40k,Mustard,71,1936861,9079601
32,3IW7ScrzXmPvZhB27hmfgy,Jul,81,12724780,8940030
130,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,74,6032510,8906423
198,5zixe6AbgXPqt4c1uSl94L,Connor Price,71,1748029,8855722
126,2hejA1Dkf8v8R0koF44FvW,Gera MX,74,6078008,8781076
90,1GMwSpFzrLd12jUX15bHB6,BLOK3,76,5157029,8655501
75,3prRKGJz16RRMRSIM97nHw,Supernova Ent,77,269473,8631161
159,1WQBwwssN6r8DSjUlkyUGW,MC Cabelinho,73,9788411,8585587
166,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,72,5041037,8522943
197,4xRYI6VqpkE3UwrDrAZL8L,Logic,71,6142013,8479339
67,0QntOArZgiNHoemAzwJPu5,Gur Sidhu,77,1424507,8476339
55,1scVfBymTr3CeZ4imMj1QJ,Forrest Frank,78,2300285,8368145
188,3MrDVzg7ZXaYMyQmbDInr7,WIU,72,3468911,8341789
91,5nP8x4uEFjAAmDzwOEc9b8,Matuê,76,13942792,8302594
110,0vLuOi2k62sHujIfplInlK,Hungria,74,11439113,8184026
190,2rN8LHqK4TBI7y3d9POvJb,Dhanda Nyoliwala,72,1740309,8155752
133,4PULA4EFzYTrxYvOVlwpiQ,Sidhu Moose Wala,74,45706707,8138045
47,6Te49r3A6f5BiIgBRxH7FH,Ninho,79,12196226,8018182
121,78iJ2FMbYAFY3djO4PbWZi,La Mano 1.9,74,717700,7976228
141,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,73,4024306,7875838
99,0V2oXYR7DtrZAEFeILRW2r,Lvbel C5,75,4519791,7873060
150,1wGIhYkKWSq4yACtTkCkSX,Canserbero,73,16400611,7798282
83,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,76,3433724,7669739
189,2h5Ha0ZiMFmOQD3iYcSXsy,KayBlack,72,4274937,7666081
89,1oH2B8tcHn4Gpl2bmmyd4A,La Santa Grifa,76,9510744,7651076
136,3DHtfeD4PsmR9YGhCP4VF7,Nemzzz,73,1574575,7492849
152,1CcZoULzFHa8Uhwo6OlQcp,Semicenk,73,5923906,7425197
102,0LKAV3zJ8a8AIGnyc5OvfB,SDM,75,2275064,7257627
148,7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,73,1690209,7219928
60,45TgXXqMDdF8BkjA83OM7z,Rod Wave,77,9694103,7206026
158,1YOVBTvznjiDvtAj4ExHeo,BK,73,2299618,7189293
137,3vUMXQ9kPnZAQkMkZZ7Hfh,Tiakola,73,3562522,7056769
146,3CJKkU0XuElRT1z8rEtIYg,Luciano,73,2487023,6978385
87,0uOUeC51AxGnP6hB8gurwt,Cheema Y,76,1089084,6954587
104,250LLR8V4fFq1XFzAB1ZN5,Poizi,75,890944,6919853
199,4yBK75WVCQXej1p04GWqxH,Jeezy,71,2575094,6833305
100,2UwqpfQtNuhBwviIC0f2ie,Damso,75,5737313,6830652
63,3YBJLs7RqR0aPGBgU27nDh,Werenoi,77,2717823,6646530
174,5gqmbbfjcikQBzPB5Hv13I,Gazo,72,4269288,6641510
142,5gs4Sm2WQUkcGeikMcVHbh,Hamza,73,1794190,6386253
131,6bGOmNBU1AOgttgOjh0ldf,Ati242,74,3493869,6313686
97,5tQMB0cuNXdCtzovGt55uD,LUCKI,75,1785306,6297348
82,23TFHmajVfBtlRx5MXqgoz,Sfera Ebbasta,76,7381859,6206153
155,17EAWIoXAMU9Vo9xRrdZQ0,AKDO,73,399902,6161432
181,22dFwJoRBV51ue5TGnC7Dt,Beny Jr,72,2004627,6156046
161,3PpJbrAbphauEun8Xf9tD2,Theodora,72,255926,6043774
180,2kXKa3aAFngGz2P4GjG5w2,SCH,72,2750630,5970376
103,51DevdOxIJin6DB1FXJpD1,UZI,75,6404842,5915288
177,3pjq2pDV9RR6VY55wBjVnp,Dardan,72,1387994,5866380
187,7CUFPNi1TU8RowpnFRSsZV,Niska,72,6306694,5778936
140,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,73,3056112,5776542
185,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,72,898079,5716876
139,5gCRApTajqwbnHHPbr2Fpi,Juicy J,73,3295579,5452243
179,3DCWeG2J1fZeu0Oe6i5Q6m,PLK,72,2447389,5372431
170,4hYxvgmTzS29XAXlo5adgM,L2B,72,875989,5261590
195,4sY0lTSkfDMMt27cVvFT6o,Rico Ace,71,33287,5122450
172,58wXmynHaAWI5hwlPZP3qL,Booba,72,3691633,5004553
153,6sBSLIunx1Je0Y2T77wpkP,Motive,73,1741024,4871815
182,0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,72,1847909,4850569
167,5AZuEF0feCXMkUCwQiQlW7,Marracash,72,2932245,4848207
186,7F2utINZ6tSokSiZTQBE27,Guè,72,2984955,4751340
171,3NH8t45zOTqzlZgBvZRjvB,PNL,72,10013468,4733264
183,1E8mXBWN7AXZCOPYbOky4J,Jazeek,72,744783,4542423
175,1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,72,2412506,4375521
168,0jdNdfi4vAuVi7a6cPDFBM,Lazza,72,2739727,4357628
98,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,75,1814920,4243506
173,34LetYSjEuG2fBb4Z8PwPg,Pashanim,72,1257854,4084172
144,5SulO4l40qDuV9zUGLZx7n,Capo Plaza,73,4210756,4036340
184,6ynopZPMBXcIGBI9M02Un5,Haftbefehl,72,866563,3966140
122,2K5nCggbhSZ00YCYP5qkZS,Shiva,74,2908683,3918077
178,3hWQDRr1PqwvnHeiZlucBq,Bouss,72,465638,3379846
147,28TqrmNSPiKo5w3WVb3A3N,Aymen,73,459879,3274811
176,6PsQc21YZU7WNfiODG69Qk,Tony Boy,72,630518,2474589
