,id,name,album,key,mode,camelot,tempo,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness
68,b011aaa90be3faed7a095ef93a5101bb,Drip Too Hard (Lil Baby & Gunna),Drip Harder,C#,minor,12A,113.0,2:25,83.0,66.0,90.0,39.0,9.0,0.0,53.0,29.0,-7 dB
69,394e9e0af93d4b2be36d7947335da244,,,G,minor,6A,83.0,4:31,78.0,55.0,57.0,30.0,10.0,0.0,33.0,3.0,-4 dB
70,2b835bbb03ef910f613d50bc31064ce7,All Of The Lights,My Beautiful Dark Twisted Fantasy,C#,major,3B,142.0,4:59,81.0,80.0,53.0,22.0,8.0,0.0,18.0,7.0,-3 dB
71,fd7d02101d1e2e15045a1e8fd2433459,,,C#,major,3B,148.0,4:24,79.0,82.0,60.0,30.0,20.0,0.0,34.0,14.0,-6 dB
72,4ab36448fdcff1f81478244c1019a8d2,,,C,minor,5A,108.0,3:12,80.0,59.0,51.0,59.0,60.0,5.0,12.0,6.0,-8 dB
73,a4588383f32b0fcf5762c31d0bd1779d,,,F#,major,2B,125.0,2:38,80.0,71.0,72.0,74.0,18.0,0.0,14.0,6.0,-6 dB
74,f1cc0f3b8f6f34f0f536d2397448e025,LVL,LONG.LIVE.A$AP (Deluxe Version),F,minor,4A,120.0,3:40,82.0,43.0,60.0,10.0,18.0,0.0,12.0,5.0,-7 dB
75,bee019df4d37254b099237e4c61467ec,on one tonight,One of Wun,E,minor,9A,130.0,1:30,80.0,73.0,89.0,93.0,38.0,0.0,21.0,14.0,-4 dB
76,e348dac106046187876885d62bd77146,,,B,major,1B,127.0,3:20,79.0,86.0,72.0,67.0,27.0,0.0,60.0,20.0,-4 dB
77,99c374a9dd53b5b7d8b7ac9ca74d0bf7,,,C#,major,3B,100.0,4:01,79.0,61.0,67.0,48.0,32.0,0.0,43.0,22.0,-7 dB
78,4ad42e0ee67e7644aee2d8460b476cb0,,,D,major,10B,146.0,4:18,80.0,92.0,64.0,85.0,3.0,0.0,9.0,8.0,-4 dB
79,f3b10ff2c47746eaa0d9c2acdc2bf2bc,,,C#,major,3B,136.0,4:32,81.0,47.0,66.0,36.0,2.0,0.0,7.0,5.0,-8 dB
80,c63c39129fe75ac879dd87b1430b4ed2,,,D,major,10B,105.0,3:37,80.0,52.0,77.0,39.0,18.0,0.0,13.0,3.0,-4 dB
81,1846d4ad287efb983672ba4d30565cd0,,,Ab,major,4B,166.0,2:58,79.0,64.0,74.0,16.0,0.0,0.0,24.0,5.0,-4 dB
82,e1b9b0d7305b51261d37edc351c91270,,,F,minor,4A,120.0,2:09,78.0,71.0,84.0,96.0,18.0,0.0,34.0,17.0,-5 dB
83,f7a90229a5168ae073ba74499eb058b2,,,D,minor,7A,91.0,2:43,79.0,81.0,61.0,42.0,14.0,0.0,10.0,11.0,-3 dB
84,198bab8221f16e2df9aaba03b52b916d,,,E,minor,9A,120.0,2:30,80.0,78.0,78.0,8.0,9.0,0.0,12.0,11.0,-4 dB
85,aeb88248ce46a2f2fae6e19f06bca2f2,,,A,major,11B,80.0,3:10,79.0,50.0,55.0,41.0,23.0,0.0,80.0,7.0,-9 dB
86,ab76b25c3bf4fbb4a9aefac4ea1add9d,,,G,minor,6A,125.0,3:35,79.0,54.0,64.0,38.0,17.0,0.0,42.0,8.0,-8 dB
87,25585d81a9fa1e91504b49d312ed68a2,fukumean,a Gift & a Curse,C#,minor,12A,130.0,2:05,82.0,62.0,85.0,22.0,12.0,0.0,28.0,9.0,-7 dB
88,2f136a8b510c62c91bc5e9bb8bb3ce7f,,,G,minor,6A,130.0,1:35,80.0,57.0,73.0,69.0,85.0,0.0,11.0,13.0,-7 dB
89,ad3bae491f756e5f16aba1526b8adc74,Jocelyn Flores,17,C,minor,5A,134.0,1:59,79.0,39.0,87.0,44.0,47.0,0.0,30.0,24.0,-9 dB
90,1c5c882512969c99eeffb2ed3e3f9435,Crazy In Love (feat. JAY-Z),Dangerously In Love,D,minor,7A,99.0,3:56,80.0,77.0,65.0,68.0,0.0,0.0,7.0,23.0,-7 dB
91,135111c01e5a8cebfaed4972b5bdd6b0,,,C,major,8B,128.0,3:48,86.0,84.0,60.0,53.0,0.0,0.0,7.0,6.0,-5 dB
92,c3dba3cd97299ea126ac0b9a31ed55d0,,,C,minor,5A,154.0,4:52,80.0,91.0,54.0,58.0,2.0,0.0,74.0,11.0,-5 dB
93,146be8a411107d97ef080af14443abb3,,,G,minor,6A,131.0,3:15,67.0,73.0,64.0,43.0,1.0,0.0,16.0,6.0,-4 dB
94,f1ba363dc4a7e9d3e1e9874e0b9b8ab1,Father Stretch My Hands Pt. 1,The Life Of Pablo,G,major,9B,113.0,2:15,83.0,57.0,72.0,44.0,12.0,0.0,54.0,5.0,-4 dB
95,f74d9479dc9f587130cae1c80052b2dc,,,G#,minor,1A,80.0,5:52,79.0,76.0,44.0,21.0,2.0,0.0,16.0,7.0,-5 dB
96,ecf934164b12f14361b3697766f91566,,,C#,major,3B,93.0,5:08,81.0,72.0,87.0,84.0,3.0,0.0,33.0,25.0,-6 dB
97,be398361bd9c2f69f0010373eab615cf,Forgot About Dre,2001,Ab,major,4B,134.0,3:42,81.0,74.0,92.0,62.0,8.0,0.0,16.0,8.0,-1 dB
98,f2d6bee0b71a70e203004ef90ef21952,Odio (feat. Drake),"Fórmula, Vol. 2 (Deluxe Edition)",C,minor,5A,128.0,3:45,77.0,73.0,80.0,60.0,57.0,0.0,8.0,7.0,-6 dB
99,02cad228527a496389763f17c3603d3b,She Will,Tha Carter IV (Complete Edition),Ab,major,4B,100.0,5:05,80.0,84.0,36.0,8.0,0.0,0.0,24.0,12.0,-5 dB
100,0f119b8372e40f7c52042b7c36aa2610,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),F#,minor,11A,120.0,4:24,81.0,51.0,82.0,62.0,54.0,0.0,61.0,36.0,-9 dB
101,2e65dfddb91f3f7c62bf9bfa4d15bc46,Pure Cocaine,Street Gossip,Bb,minor,3A,127.0,2:34,79.0,49.0,96.0,11.0,0.0,0.0,12.0,42.0,-6 dB
102,73bff796cdfe4da1132999e20c250f81,Lovin On Me,Lovin On Me,D,major,10B,105.0,2:18,83.0,56.0,94.0,61.0,0.0,0.0,9.0,6.0,-5 dB
103,a86dd96a8b54b58f1f40800a2568fcce,,,C,minor,5A,97.0,3:12,78.0,34.0,70.0,58.0,50.0,0.0,14.0,3.0,-11 dB
104,cf669c97011cc4dbcc44b4b82ad62922,No Diggity,Another Level,C#,minor,12A,89.0,5:04,79.0,65.0,87.0,67.0,30.0,0.0,28.0,29.0,-5 dB
105,0a7c756b817afccab9aad91865db39d1,,,Ab,major,4B,130.0,1:31,80.0,59.0,80.0,97.0,7.0,1.0,8.0,7.0,-10 dB
106,609ac0ac1e92b2f4fba1108704580521,,,F,major,7B,95.0,3:27,78.0,42.0,76.0,39.0,60.0,0.0,29.0,12.0,-10 dB
107,7f3a999b9d952c3bbaef7678c478aa3c,,,C#,minor,12A,100.0,2:53,79.0,44.0,74.0,53.0,38.0,0.0,8.0,3.0,-11 dB
108,ef59981ba69df7d95e035633a79ddc1d,,,G,major,9B,120.0,4:24,80.0,60.0,85.0,84.0,0.0,0.0,8.0,4.0,-5 dB
109,c789d7df3db8bfeddec45664502109ad,,,F,minor,4A,148.0,3:32,77.0,71.0,66.0,46.0,31.0,0.0,18.0,12.0,-6 dB
110,bda84ab1070563c8bdbcb97148e6bd9e,,,C#,major,3B,135.0,4:14,77.0,54.0,74.0,60.0,18.0,0.0,33.0,12.0,-11 dB
111,8b32a280a57fa9637b6511c39b0bf6a9,,,F#,minor,11A,93.0,3:00,78.0,87.0,66.0,38.0,11.0,0.0,4.0,12.0,-4 dB
112,f3e412575a3b5665418097ca72484f96,,,B,minor,10A,171.0,3:47,78.0,78.0,46.0,45.0,13.0,0.0,18.0,36.0,-5 dB
113,3a1f7319eb928f6f7d4d13d7c555d175,,,G,minor,6A,90.0,2:41,78.0,75.0,57.0,50.0,4.0,0.0,14.0,8.0,-4 dB
114,033082419a8a30fb9d1151268d0f303f,,,F,minor,4A,96.0,2:41,76.0,76.0,70.0,82.0,1.0,0.0,5.0,5.0,-4 dB
115,509a843e77f8910305e9284e28eaf460,,,E,minor,9A,128.0,3:02,79.0,78.0,62.0,51.0,26.0,0.0,7.0,6.0,-6 dB
116,ec9bcaec6a9d653b3f9480150adf1978,,,D,major,10B,106.0,3:52,78.0,58.0,53.0,14.0,3.0,0.0,42.0,3.0,-9 dB
117,fc9256d207b25845789154e95910214b,,,Eb,major,5B,130.0,3:15,77.0,88.0,67.0,55.0,6.0,0.0,26.0,4.0,-3 dB
118,c065611eae43495a6346dc5516fb0ba4,Thrift Shop (feat. Wanz),The Heist,F#,minor,11A,95.0,3:55,81.0,53.0,78.0,67.0,6.0,0.0,5.0,29.0,-7 dB
119,a47da406957b487bd344a1a9620b5413,De las 2 (feat. Bad Bunny & Arcángel),Trap Capos II,Ab,minor,1A,120.0,4:20,78.0,70.0,74.0,41.0,71.0,0.0,8.0,12.0,-5 dB
120,3da653337f2d120da3ec474d7a3f49f7,Freestyle,Too Hard,D,minor,7A,120.0,2:42,80.0,52.0,88.0,26.0,22.0,0.0,14.0,7.0,-5 dB
121,b8b1675bb891d92c5306f375b814a1ce,,,Bb,major,6B,108.0,2:22,77.0,46.0,97.0,46.0,10.0,0.0,15.0,37.0,-7 dB
122,55b6af455b99e8f1f159c5d8eb1bda7b,,,A#,minor,3A,192.0,3:50,78.0,88.0,63.0,87.0,3.0,8.0,67.0,16.0,-7 dB
123,35b77adf466884cd88bdc11ce72a5618,Many Men (Wish Death),Get Rich Or Die Tryin',B,major,1B,162.0,4:16,80.0,83.0,59.0,39.0,1.0,0.0,14.0,38.0,-3 dB
124,13decb5a45e24b4bd0377d286016f466,ZEZE (feat. Travis Scott & Offset),Dying to Live,Ab,minor,1A,98.0,3:48,80.0,60.0,86.0,50.0,5.0,0.0,9.0,18.0,-6 dB
125,a166701d739133a4b44d4fc4698190f1,,,F,minor,4A,74.0,3:48,76.0,62.0,33.0,40.0,86.0,0.0,10.0,9.0,-7 dB
126,4685438b28ba7100a62d58f452469f09,,,F,minor,4A,140.0,3:15,77.0,73.0,62.0,46.0,10.0,0.0,67.0,11.0,-5 dB
127,67cdfe47eefb2e9fb7dc8b1833f648c4,Nice For What,Scorpion,Ab,major,4B,93.0,3:30,80.0,91.0,59.0,76.0,9.0,0.0,12.0,7.0,-6 dB
128,9552a597e378d338bcceacdb2eda8a0d,,,E,minor,9A,152.0,2:23,81.0,46.0,70.0,29.0,14.0,0.0,11.0,7.0,-8 dB
129,d83b9eeccf5cacb93a5f57bcb17d7b74,MIA,X 100PRE,F#,minor,11A,97.0,3:30,80.0,54.0,82.0,16.0,1.0,0.0,10.0,6.0,-6 dB
130,97f785d5a55a1f0def9e9e845774561b,,,A#,minor,3A,92.0,3:14,77.0,77.0,64.0,83.0,3.0,0.0,31.0,18.0,-3 dB
131,f9a377f92f97b508b04364d3eefc047d,Doja,Doja,F#,major,2B,140.0,1:37,78.0,57.0,91.0,97.0,38.0,0.0,40.0,29.0,-7 dB
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,0f12fcbb7d0863be7185ff063db6ee44,,,F,minor,4A,67.0,2:42,75.0,59.0,63.0,42.0,31.0,0.0,17.0,24.0,-5 dB
135,a4b1fb760be9bcd808205c078d746779,,,F,major,7B,175.0,3:43,66.0,83.0,64.0,68.0,3.0,0.0,28.0,18.0,-4 dB
136,8b52b9f17c4142505573fad0224c397e,,,C,minor,5A,155.0,2:22,77.0,70.0,73.0,66.0,16.0,0.0,22.0,15.0,-5 dB
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,5c7bb4e3bfb4247d96af0245336e6390,,,C,major,8B,79.0,2:29,75.0,52.0,72.0,67.0,20.0,0.0,41.0,26.0,-14 dB
140,ce633ae5331db911c8951387a7fb51f9,,,B,minor,10A,100.0,3:53,77.0,37.0,65.0,71.0,20.0,0.0,11.0,60.0,-14 dB
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
